A_id,Sizes,Weights,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,,,size,weight,sweet,crunch,juicines,rip,acidity,resa,
0,-3.970048523,-2.512336381,5.346329613,-1.012008712,1.844900361,0.329839797,-0.491590483,good,,,0.234668691,0.358370182,0.922484376,0.368781165,0.585818829,0.472770018,0.452225027,1,2004
1,-1.195217191,-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,-0.722809367,good,,,0.439331401,0.33310697,0.79570617,0.558928017,0.511408485,0.513807448,0.436185174,1,
2,-0.292023862,-1.351281995,-1.738429162,-0.342615928,2.838635512,-0.038033328,2.621636473,bad,,,0.50594806,0.448092286,0.388567376,0.417731601,0.660388301,0.44469332,0.668192257,0,
3,-0.657195773,-2.271626609,1.324873847,-0.097874716,3.637970491,-3.413761338,0.790723217,good,,,0.479014145,0.376971367,0.619422032,0.4356287,0.720370065,0.187052061,0.541180231,1,
4,1.36421682,-1.296611877,-0.384658206,-0.55300577,3.030874354,-1.303849429,0.501984036,good,,,0.628107091,0.452316996,0.490589386,0.402346501,0.674813824,0.348084099,0.521150145,1,
5,-3.425399755,-1.409082204,-1.913511195,-0.555774864,-3.85307147,1.914615916,-2.981523169,bad,,,0.274840248,0.443625694,0.375372957,0.402144007,0.158245394,0.593722806,0.279496256,0,
6,1.331605736,1.635955715,0.875974244,-1.67779794,3.106344455,-1.847416733,2.414170509,good,,,0.625701801,0.678935265,0.585592351,0.320094245,0.680477069,0.306598125,0.653800165,1,
7,-1.995462096,-0.42895848,1.530643583,-0.742971676,0.158834003,0.974437858,-1.470125066,good,,,0.380307889,0.519366128,0.634929118,0.388454936,0.459297111,0.52196683,0.384343241,1,
8,-3.867632233,-3.734513576,0.986429067,-1.20765455,2.292872919,4.080920787,-4.871904758,bad,,,0.24222259,0.263924727,0.593916376,0.354474245,0.619434503,0.75905885,0.14835886,0,
9,-0.727982709,-0.442820353,-4.092222827,0.597512917,0.393714261,1.620856772,2.185607723,bad,,,0.473793126,0.518294932,0.211182303,0.486480051,0.476922428,0.571302613,0.637944568,0,
10,-2.69933629,-1.329506988,-1.418506853,-0.625545768,2.371074371,3.403164523,-2.810808169,bad,,,0.328392373,0.44977498,0.412677154,0.397041896,0.625302708,0.707331348,0.291338902,0,
11,2.450959845,-0.564177407,-1.635040727,0.942399869,-2.08731667,1.214321691,1.294323927,good,,,0.70826179,0.508916896,0.396358868,0.51170047,0.290746899,0.540275169,0.576115445,1,
12,-0.170811719,-1.867271142,-1.771844728,2.413155317,-3.094554738,-0.624884375,-2.076113997,bad,,,0.514888281,0.408218502,0.386049134,0.619251854,0.215164174,0.399903858,0.342305268,0,
13,-1.345530536,-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,1.724026084,good,,,0.428244768,0.427040716,0.673627185,0.571109496,0.522235293,0.480733427,0.605924253,1,
14,2.839580937,-0.344798192,-1.019797291,0.894580857,-1.300060883,0.58237862,1.709708209,good,,,0.736925243,0.525869732,0.442724446,0.508203627,0.349822246,0.492044207,0.604931009,1,
15,-2.659887385,-2.795684208,4.230403587,0.697550395,2.180911101,-0.088775396,-1.083620788,good,,,0.331301999,0.336474082,0.838386682,0.493795454,0.611032935,0.4408206,0.411155375,1,
16,-1.468951547,-1.950359588,-2.214372889,0.909758509,2.864448854,3.965955655,-0.558208683,bad,,,0.419141628,0.401797726,0.352699613,0.509313518,0.662325324,0.750284517,0.447603665,0,
17,-0.074370177,-4.714749953,0.249767641,2.935319065,1.4097551,-2.643810206,1.250970347,good,,,0.522001502,0.188175588,0.538400575,0.657435927,0.55316571,0.245816031,0.57310797,1,
18,-0.302364267,1.724395847,-2.442337223,3.465108479,0.449791675,-0.074362452,2.493781985,bad,,,0.505185385,0.6857696,0.335519913,0.696177639,0.481130454,0.44192062,0.659322881,0,
19,-2.108049899,0.356467403,-1.156193279,4.326722517,1.561543116,-4.630174264,-1.37665721,good,,,0.372003772,0.580061013,0.432445459,0.759184567,0.564555819,0.094213373,0.390827187,1,
20,-2.334589505,-2.943708903,-3.452627724,0.76239173,4.076462369,6.346445353,0.726775672,bad,,,0.355294933,0.325035266,0.259383055,0.498537082,0.753274313,0.931967509,0.536744134,0,
21,1.177592782,-0.721654493,-1.387116215,7.619851801,1.069288382,-3.734805414,2.642948241,good,,,0.614342297,0.496747633,0.415042795,1,0.527617229,0.162549435,0.669670673,1,
22,-2.423946222,-0.698500653,0.146030407,0.630106169,2.990560508,0.779472898,3.184188187,bad,,,0.348704266,0.498536879,0.530582797,0.488863486,0.67178869,0.507086775,0.707216953,0,
23,0.135714199,-0.753756857,-2.196146456,1.039276088,0.580537553,0.227308777,2.086618541,bad,,,0.537496656,0.494266878,0.354073182,0.518784701,0.49094157,0.464944677,0.631077603,0,
24,0.522960759,-1.428085244,-0.743518743,1.786716194,-4.207543546,-1.825231216,-1.430429857,bad,,,0.566058727,0.442157207,0.46354517,0.573442474,0.131645957,0.308291361,0.387096932,0,
25,-1.299468393,-3.504792012,-1.129402004,0.555905383,-2.807550163,1.714630108,-3.846641823,bad,,,0.431642165,0.281676783,0.434464486,0.483437432,0.236700878,0.578459552,0.219482231,0,
26,-0.300698281,-0.513603251,0.921006242,1.378172075,2.274746687,0.745336375,-2.93402889,good,,,0.505308263,0.512825084,0.588986024,0.543567021,0.618074318,0.504481418,0.282790975,1,
27,1.999830964,0.669989798,-2.099615991,2.645818971,-0.989495892,0.373330128,-2.397691796,bad,,,0.674987963,0.604288895,0.361347848,0.636265762,0.373126914,0.476089273,0.31999714,0,
28,1.44605205,1.656691823,-1.77752075,1.708962209,-0.341670322,-1.322439494,-1.158128067,bad,,,0.634142996,0.680537677,0.385621381,0.567756588,0.421739475,0.346665274,0.405986741,0,
29,-0.595825477,1.53467991,-1.769318974,0.664501835,-0.432874451,0.800438687,1.64595436,bad,,,0.483540622,0.671109035,0.386239478,0.491378725,0.414895555,0.50868692,0.60050835,0,
30,0.41049215,-2.260290059,-3.335948019,-0.285205194,-2.733844264,2.585985706,-3.036919711,bad,,,0.557763401,0.377847414,0.268176195,0.421929854,0.242231738,0.644962882,0.27565335,0,
31,-2.560871547,-0.096411696,2.413774105,1.318293666,3.271688133,-1.797184556,-2.636844815,good,,,0.338605091,0.545064146,0.701483028,0.539188315,0.69288439,0.310431929,0.303406889,1,
32,1.681662618,-2.981673805,-0.079805091,-0.947866387,3.034812556,-0.708611234,1.166970737,good,,,0.651520881,0.322101475,0.513563529,0.373471677,0.675109345,0.393513683,0.567280844,1,
33,-0.588796035,-1.121987147,2.324295089,0.31193071,5.148739416,-3.351988405,5.560108693,bad,,,0.484059091,0.465811367,0.694739768,0.465596388,0.833737537,0.191766675,0.872036601,0,
34,-0.034367939,-1.332805096,2.329101271,2.862758897,0.825239311,1.062672091,2.300330525,good,,,0.524951939,0.449520114,0.695101969,0.652129846,0.509303888,0.528701016,0.645902987,1,
35,-0.955402343,-2.461096775,-4.087156169,0.839107617,1.003216188,4.97563997,-0.98138767,bad,,,0.457019379,0.362329794,0.211564133,0.504147056,0.522659199,0.827345329,0.418247375,0,
36,-3.061165273,0.837103637,-1.076638228,1.524738013,1.764140258,-0.05647271,-1.495112616,good,,,0.301705021,0.617202851,0.438440836,0.554284894,0.579758624,0.443285995,0.382609834,1,
37,3.948113709,-1.634183083,-4.773780118,1.9316313,0.790539691,1.583097197,-2.478055932,good,,,0.818687085,0.426230708,0.159819224,0.584039627,0.506700043,0.568420738,0.314422211,1,
38,-1.796718509,-3.469227293,3.685436759,-0.164140623,1.32029846,1.480109529,-2.292964433,good,,,0.394966582,0.284425096,0.797317245,0.430782897,0.546452921,0.560560545,0.327262167,1,
39,1.286737909,-2.429524527,0.956133102,1.477542241,4.786375676,-3.382357404,2.519346925,good,,,0.622392493,0.364769584,0.591633231,0.550833626,0.806545913,0.189448862,0.661096343,1,
40,1.196545025,-1.448104291,-0.921516758,2.005491286,0.404741482,-0.700778848,1.071129708,bad,,,0.615740154,0.440610207,0.450130999,0.589440759,0.477749906,0.394111463,0.56063227,0,
41,-0.354190342,-2.024042534,1.36698489,3.233616169,0.992668519,1.525608545,2.740924761,good,,,0.501362859,0.396103773,0.622595578,0.679249388,0.521867706,0.564033107,0.676467388,1,
42,-1.53860666,-2.747844387,1.844950057,0.491249069,-0.425815521,1.25976818,-1.680924092,bad,,,0.414004089,0.340170971,0.658615679,0.478709334,0.415425254,0.543743722,0.369719932,0,
43,0.807854104,0.752707011,0.179226346,1.451582185,-1.611859169,-2.776274958,0.184905607,bad,,,0.587071551,0.610680984,0.533084488,0.548935255,0.326425032,0.235706097,0.499154142,0,
44,3.930361392,2.754406492,-2.667949537,1.428248173,0.092761232,1.095793658,2.627274158,good,,,0.81737773,0.765365115,0.318517464,0.547228917,0.454339038,0.531228909,0.668583348,1,
45,0.03347095,-0.044160963,-0.481202468,4.937209505,-0.609872897,-3.231504027,1.248791791,good,,,0.52995552,0.549101895,0.48331368,0.80382742,0.401613665,0.200962246,0.572956841,1,
46,-0.487366694,-0.768805325,-0.779231515,2.025256619,1.477926984,0.267788073,-4.454570173,good,,,0.491540196,0.493103987,0.460853808,0.590886131,0.558281299,0.468034126,0.177309719,1,
47,-1.387990181,2.738510761,-2.349216852,0.953438489,1.860715718,2.317309906,3.097818375,bad,,,0.42511308,0.764136751,0.34253759,0.512507687,0.587005607,0.624457091,0.701225405,0,
48,-3.328571498,0.652576936,-1.424402957,0.727385379,1.576921347,2.57780352,0.650677868,bad,,,0.281981991,0.602943292,0.412232815,0.495977186,0.565709795,0.644338404,0.531465164,0,
49,-1.107060152,2.261198229,-2.635197022,0.882264783,-0.02399536,2.218099369,2.865048371,bad,,,0.445833583,0.727251756,0.320985738,0.507302994,0.445577672,0.616885176,0.68507795,0,
50,-2.938616815,0.524454917,0.802257441,-1.475930881,-0.336348939,1.43064807,-2.298875523,good,,,0.310743805,0.593042484,0.580036954,0.334856102,0.422138789,0.556785563,0.32685211,1,
51,-0.411307683,-1.758595285,-2.213864776,-0.149535258,1.576184296,0.929197409,1.416983091,bad,,,0.497150066,0.416616581,0.352737905,0.431850938,0.565654487,0.518514003,0.584624416,0,
52,1.343763324,-2.514417138,-3.461538942,3.841154192,0.280515139,-0.025436811,0.85622891,good,,,0.626598506,0.358209388,0.258711493,0.723676593,0.468428013,0.445654708,0.545724417,1,
53,1.205450296,-1.783508474,0.652683061,2.442983435,1.34691458,1.115062157,-1.198656978,good,,,0.616396978,0.414691379,0.568764826,0.621433083,0.548450183,0.532699514,0.403175216,1,
54,3.010344278,-3.423028629,-3.110977964,-1.543044507,3.567608188,1.696232599,0.445840404,good,,,0.749520202,0.287995163,0.285130243,0.329948309,0.715090107,0.577055423,0.517255413,1,
55,2.032797084,-0.641021365,-2.409689916,2.936128289,1.675484552,-0.904588536,2.287350346,good,,,0.677419439,0.502978671,0.337980258,0.657495103,0.573105937,0.378556364,0.645002541,1,
56,1.822657318,-0.545617297,-0.367820835,0.252983288,-0.789107409,2.135911779,-3.343955801,good,,,0.6619202,0.510351154,0.491858273,0.461285762,0.388163982,0.61061248,0.254353992,1,
57,1.098486821,-1.020374176,1.211131183,1.260177674,-1.029902705,2.622737988,2.662547829,good,,,0.608507694,0.473663651,0.610850232,0.534938489,0.370094803,0.647767878,0.671030313,1,
58,-0.479883026,-0.079195404,-0.843547042,3.049567607,3.663838119,-0.365698656,-1.473537531,good,,,0.492092168,0.546394559,0.456006903,0.665790537,0.722311161,0.419685349,0.384106516,1,
59,0.833097732,0.449713632,-1.638548868,-0.63133803,2.830906373,-0.668860377,1.049428799,good,,,0.588933441,0.587266746,0.39609449,0.396618327,0.65980831,0.396547535,0.559126859,1,
60,-3.464155339,1.352111148,0.458025722,0.892746743,3.129818456,-1.74467453,-2.204610725,good,,,0.271981759,0.657000778,0.554095186,0.508069505,0.682238548,0.314439583,0.33339134,1,
61,-4.67414092,0.797045882,-0.897212669,-1.393983171,0.492129797,3.201707789,-0.58628671,bad,,,0.182737082,0.614107332,0.451962588,0.340848661,0.484307489,0.69195583,0.445655868,0,
